node_id;d+;d-;fc+;fc-;ft+;ft-;c+;c-;gr+;gr-;r+;r-;gi
1628;37;3;33;1;1;1;22;2;2;2;37;3;1
1629;0;6;0;1;0;1;103;0;0;3;0;6;0
1630;0;4;0;2;0;1;19;0;0;2;0;4;0
1631;0;9;0;2;0;2;1482;0;0;4;0;10;0
1632;3;2;2;2;1;0;0;1;2;1;3;2;1
1633;0;2;0;1;0;1;1654;0;0;2;0;2;0
1634;0;1;0;1;0;0;0;0;0;1;0;1;0
1635;0;3;0;1;0;1;9;0;0;2;0;3;0
1636;0;4;0;1;0;1;345;0;0;3;0;5;0
1637;0;11;0;1;0;1;204;0;0;5;0;11;0
1638;0;2;0;1;0;1;61;0;0;2;0;2;0
1639;0;28;0;1;0;1;164;0;0;9;0;28;0
1640;0;1;0;1;0;0;0;0;0;1;0;1;0
1641;0;5;0;1;0;1;19;0;0;4;0;5;0
1642;0;3;0;1;0;1;293;0;0;2;0;3;0
1643;0;5;0;1;0;1;125;0;0;3;0;5;0
1644;0;4;0;1;0;1;59;0;0;4;0;4;0
1645;0;13;0;1;0;1;148;0;0;5;0;13;0
1646;0;12;0;1;0;1;324;0;0;5;0;13;0
1647;0;2;0;1;0;1;251;0;0;2;0;2;0
1648;2;5;2;2;0;2;1130;0;1;3;2;5;0
1649;0;2;0;1;0;1;619;0;0;2;0;2;0
1650;0;8;0;1;0;1;75;0;0;4;0;8;0
1651;0;3;0;1;0;1;949;0;0;3;0;3;0
1652;0;1;0;1;0;0;0;0;0;1;0;1;0
1653;0;4;0;1;0;1;287;0;0;3;0;4;0
1654;0;13;0;1;0;1;166;0;0;5;0;13;0
1655;0;3;0;1;0;1;40;0;0;2;0;3;0
1656;0;7;0;1;0;1;168;0;0;4;0;7;0
1657;0;1;0;1;0;0;0;0;0;1;0;1;0
1658;40;1;23;1;1;0;0;4;2;1;40;1;1
1659;23;10;18;3;1;2;404;1;2;4;23;10;1
1660;0;5;0;2;0;2;323;0;0;2;0;5;0
1661;2;1;2;1;0;0;0;0;1;1;2;1;0
1662;0;4;0;1;0;1;655;0;0;3;0;4;0
1663;0;1;0;1;0;0;0;0;0;1;0;1;0
1664;0;33;0;2;0;2;1862;0;0;7;0;33;0
1665;0;8;0;2;0;2;654;0;0;3;0;8;0
1666;0;2;0;1;0;1;111;0;0;2;0;2;0
1667;0;5;0;1;0;1;73;0;0;3;0;5;0
1668;0;6;0;1;0;1;6;0;0;6;0;6;0
1669;16;16;16;3;0;3;649;0;1;4;16;16;0
1670;0;7;0;1;0;1;786;0;0;3;0;7;0
1671;10;1;10;1;0;0;0;0;1;1;10;1;0
1672;0;5;0;2;0;1;215;0;0;3;0;5;0
1673;0;5;0;1;0;1;155;0;0;3;0;5;0
1674;0;20;0;1;0;1;317;0;0;8;0;21;0
1675;0;5;0;1;0;1;457;0;0;3;0;5;0
1676;0;1;0;1;0;0;0;0;0;1;0;1;0
1677;0;9;0;2;0;2;331;0;0;3;0;9;0
1678;0;2;0;1;0;1;15;0;0;2;0;2;0
1679;12;4;8;2;1;2;226;1;2;2;12;4;1
1680;0;1;0;1;0;0;0;0;0;1;0;1;0
1681;1;5;1;1;0;1;170;0;1;3;1;6;0
1682;0;1;0;1;0;0;0;0;0;1;0;1;0
1683;1;1;1;1;0;0;0;0;1;1;1;1;0
1684;0;2;0;1;0;1;5;0;0;2;0;2;0
1685;0;3;0;1;0;1;209;0;0;3;0;3;0
1686;0;6;0;2;0;2;76;0;0;3;0;6;0
1687;0;8;0;2;0;1;294;0;0;5;0;8;0
1688;0;9;0;1;0;1;196;0;0;4;0;9;0
1689;0;6;0;1;0;1;951;0;0;4;0;6;0
1690;1;9;1;1;0;1;595;0;1;4;1;9;0
1691;0;6;0;1;0;1;300;0;0;4;0;6;0
1692;0;7;0;1;0;1;16;0;0;4;0;7;0
1693;0;3;0;1;0;1;113;0;0;2;0;3;0
1694;0;6;0;1;0;1;67;0;0;5;0;6;0
1695;0;6;0;1;0;1;180;0;0;3;0;6;0
1696;0;4;0;2;0;2;317;0;0;2;0;4;0
1697;0;4;0;1;0;1;248;0;0;3;0;4;0
1698;0;5;0;1;0;1;150;0;0;4;0;5;0
1699;26;3;26;1;0;1;293;0;1;2;26;3;0
1700;0;2;0;1;0;1;26;0;0;2;0;2;0
1701;0;6;0;1;0;1;50;0;0;5;0;6;0
1702;0;4;0;1;0;1;488;0;0;3;0;4;0
1703;0;5;0;2;0;2;58;0;0;2;0;5;0
1704;2;9;2;2;0;2;167;0;1;3;2;9;0
1705;0;12;0;2;0;2;178;0;0;5;0;12;0
1706;0;7;0;1;0;1;71;0;0;4;0;7;0
1707;0;6;0;1;0;1;1298;0;0;3;0;6;0
1708;0;9;0;2;0;2;280;0;0;3;0;9;0
1709;0;1;0;1;0;0;0;0;0;1;0;1;0
1710;0;6;0;1;0;1;97;0;0;4;0;6;0
1711;0;6;0;1;0;1;83;0;0;4;0;7;0
1712;0;5;0;1;0;1;230;0;0;3;0;5;0
1713;0;2;0;1;0;1;82;0;0;2;0;2;0
1714;0;6;0;1;0;1;136;0;0;4;0;6;0
1715;0;12;0;2;0;2;469;0;0;4;0;13;0
1716;0;5;0;1;0;1;83;0;0;3;0;5;0
1717;0;5;0;1;0;1;73;0;0;3;0;5;0
1718;29;4;22;3;1;1;135;5;2;2;29;4;1
1719;0;4;0;1;0;1;431;0;0;3;0;4;0
1720;21;7;15;2;1;1;636;1;2;3;21;7;1
1721;0;2;0;1;0;1;106;0;0;2;0;2;0
1722;0;6;0;1;0;1;295;0;0;4;0;6;0
1723;0;6;0;1;0;1;440;0;0;4;0;6;0
1724;0;10;0;1;0;1;560;0;0;4;0;10;0
1725;0;1;0;1;0;0;0;0;0;1;0;1;0
1726;0;6;0;1;0;1;59;0;0;4;0;6;0
1727;0;3;0;1;0;1;33;0;0;2;0;3;0
1728;0;4;0;1;0;1;28;0;0;3;0;4;0
1729;0;10;0;1;0;1;15;0;0;5;0;10;0
1730;0;7;0;1;0;1;223;0;0;4;0;7;0
1731;0;9;0;2;0;2;1046;0;0;4;0;10;0
1732;0;16;0;1;0;1;46;0;0;5;0;16;0
1733;0;2;0;1;0;1;31;0;0;2;0;2;0
1734;0;4;0;1;0;1;142;0;0;4;0;4;0
1735;0;1;0;1;0;0;0;0;0;1;0;1;0
1736;19;1;19;1;0;0;0;0;1;1;19;1;0
